ID,STK11IP,ZBTB34,TBC1D10B,OAZ1,POLR2A,G6PD,ABCF1,C14orf102,UBB,TBP,SDHA,CCL5,CD27,CD274,CD276,CD8A,CMKLR1,CXCL9,CXCR6,HLA.DQA1,HLA.DRB1,HLA.E,IDO1,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT
1,43,18,49,462,217,1505,82,17,1059,47,65,43,7,13,328,11,22,43,6,171,359,561,31,8,26,11,48,206,23
2,42,56,62,1253,221,131,121,36,2288,98,97,118,48,30,440,24,128,31,6,996,1722,1172,13,37,79,30,78,197,35
3,38,9,49,157,150,96,53,15,407,15,29,75,36,8,168,27,25,61,7,215,933,545,33,25,43,10,44,140,46
4,28,45,59,923,181,173,135,35,2490,99,89,106,39,63,282,19,23,167,13,695,2328,1138,37,24,70,27,93,412,37
5,44,36,43,751,147,113,85,23,1041,84,96,129,26,18,304,25,56,274,8,8,181,1154,133,19,34,17,67,234,54
6,159,152,185,2580,490,411,336,61,4011,194,230,793,72,132,856,91,386,1450,46,4271,4901,4216,1579,182,434,110,349,1533,87
7,426,284,673,4635,1309,934,1178,162,10080,1133,592,263,292,66,3557,92,296,1006,35,2695,4709,6562,176,97,297,78,430,1569,137
8,16,31,36,352,117,23,41,14,1104,55,43,24,18,13,113,9,20,153,11,162,261,540,72,22,21,11,51,188,10
9,18,11,21,229,119,43,40,8,887,32,34,101,22,152,144,40,23,429,13,791,936,788,97,51,50,38,46,509,14
10,28,14,45,494,177,293,107,15,1196,51,99,53,8,8,406,8,19,12,4,251,582,612,7,19,38,13,38,108,10
11,61,61,63,1143,349,1546,207,59,2614,107,262,218,79,97,466,49,65,702,13,1360,2910,2703,334,118,122,24,148,2157,141
12,89,107,48,2060,418,1155,209,59,3366,105,265,45,14,33,1273,8,56,30,9,345,624,1041,22,24,22,35,32,461,14
13,36,36,109,1099,144,121,152,42,1228,77,96,34,4,12,627,7,15,61,23,87,277,266,19,20,4,12,22,164,14
14,38,39,77,1015,206,582,203,73,2462,70,148,101,61,13,154,15,36,317,7,352,1199,1561,65,20,53,10,127,431,59
15,44,69,61,1752,199,414,265,54,2929,187,180,498,28,76,219,43,46,574,21,715,1786,1551,265,145,151,41,186,1245,60
16,59,53,68,1626,246,117,172,45,2014,119,142,267,122,20,639,54,53,292,11,608,1846,1394,119,34,175,21,115,280,78
17,81,60,87,1337,284,167,173,75,2968,115,132,257,293,47,335,94,113,871,29,1438,1106,2455,157,57,253,48,147,463,197
18,103,112,108,1621,514,245,416,70,3514,281,211,170,92,25,1078,63,213,404,45,2802,3168,2757,113,39,111,70,113,401,20
19,16,31,23,513,83,62,72,24,1324,52,38,149,117,14,117,48,36,482,8,417,812,954,83,15,77,16,46,188,124
20,292,234,289,1093,888,339,532,80,4226,387,176,59,24,34,1094,43,53,122,14,1429,1945,1448,70,28,36,27,113,525,38
21,226,144,215,1885,1179,213,457,115,6679,337,321,153,70,31,295,45,75,288,49,1366,1510,1381,313,50,150,43,111,481,75
22,115,110,192,2125,447,221,282,44,5711,222,321,140,57,37,850,58,162,878,42,13,204,2955,123,68,127,64,215,769,57
23,182,179,284,2762,618,637,651,81,10617,562,198,64,18,109,2412,62,236,84,13,150,615,2032,23,43,53,63,100,453,32
24,197,142,197,2385,880,291,544,104,5662,326,282,323,293,163,905,95,421,2275,91,9,3343,6592,310,88,265,188,399,2291,158
25,48,51,61,707,236,75,83,33,1609,60,126,55,21,20,264,20,32,74,16,6,387,1003,47,13,43,9,119,241,12
26,11,6,10,17,96,104,3,3,58,7,9,6,2,1,36,7,1,1,1,10,276,222,2,8,5,10,15,56,5
27,30,43,32,611,110,111,86,19,1134,49,67,206,44,41,274,41,96,1213,19,615,1569,1154,112,90,137,24,79,421,60
28,72,95,113,3281,311,1088,492,91,5683,184,183,7,6,15,899,8,53,5,3,121,632,1246,8,12,13,17,58,160,18
29,334,397,210,3080,859,471,785,68,7939,579,349,52,13,14,1246,19,115,212,19,781,706,1859,72,50,54,28,67,1378,22
30,179,139,212,2259,581,418,329,111,5297,312,314,141,16,35,1530,17,214,93,14,7,1044,2446,44,38,48,36,131,920,23
31,147,132,206,2479,1088,722,320,48,9710,329,446,722,308,124,592,274,350,1633,134,20,2064,7217,356,212,624,118,391,1611,211
32,300,235,261,3698,784,430,586,110,8659,303,362,523,215,120,2393,194,276,3673,61,8,1013,4205,817,189,435,125,212,1747,107
33,68,70,84,956,307,118,88,51,1329,106,90,131,319,44,149,57,113,270,27,1252,1653,2567,102,20,190,42,143,183,142
34,31,13,42,85,312,101,45,9,381,19,47,19,10,11,138,6,14,14,2,80,312,798,11,7,13,3,73,121,11
35,8,8,5,100,29,5,25,7,309,9,22,5,4,3,34,1,8,15,1,75,64,110,1,1,6,3,6,33,2
36,96,87,163,2277,855,247,233,65,2262,180,210,170,20,66,798,35,115,488,35,8,473,3722,543,100,77,53,298,1205,21
