Field	Description	unit	type	lower_limit	upper_limit
CODING_BASES	Number of bases in primary alignments that align to a non-UTR coding base for some gene, and not ribosomal sequence.	base	int	none	none
FOLD_ENRICHMENT	The fold by which the amplicon region has been amplified above genomic background.	fold	float	30	none
INTERGENIC_BASES	Number of bases in primary alignments that do not align to any gene.	base	int	none	none
INTRONIC_BASES	Number of bases in primary alignments that align to an intronic base for some gene, and not a coding or UTR base.	base	int	none	none
MEAN_READ_LENGTH	The mean read length of the set of reads examined. When looking at the data for a single lane with equal length reads this number is just the read length. When looking at data for merged lanes with differing read lengths this is the mean read length of all reads.	base	int	100	200
MEAN_TARGET_COVERAGE	The mean read coverage of all target regions in an experiment.	read	int	50	none
MEDIAN_3PRIME_BIAS	The median 3 prime bias of the 1000 most highly expressed transcripts, where 3 prime bias is calculated per transcript as: mean coverage of the 3 prime-most 100 bases divided by the mean coverage of the whole transcript.	bias	float	0	0.2
MEDIAN_5PRIME_BIAS	The median 5 prime bias of the 1000 most highly expressed transcripts. The 5 prime bias is calculated per transcript as: mean coverage of the 5 prime-most 100 bases divided by the mean coverage of the whole transcript.	bias	float	0	0.2
MEDIAN_CV_COVERAGE	The median coefficient of variation (CV) or stdev/mean for coverage values of the 1000 most highly expressed transcripts. Ideal value = 0.	cv	float	none	none
MEDIAN_TARGET_COVERAGE	The median coverage of reads that mapped to target regions of an experiment.	read	int	none	none
NUM_R1_TRANSCRIPT_STRAND_READS	The number of reads that support the model where R1 is on the strand of transcription and R2 is on the opposite strand.	read	int	none	none
NUM_R2_TRANSCRIPT_STRAND_READS	The fraction of reads that support the model where R2 is on the strand of transcription and R1 is on the opposite strand.	read	int	none	none
NUM_UNEXPLAINED_READS	The fraction of reads for which the transcription strand model could not be inferred.	read	int	none	none
OFF_AMPLICON_BASES	The number of PF_BASES_ALIGNED that mapped neither on or near an amplicon.	base	int	none	none
ON_AMPLICON_BASES	The number of PF_BASES_ALIGNED that mapped to an amplified region of the genome.	base	int	none	none
ON_TARGET_BASES	The number of PF_BASES_ALIGNED that mapped to a targeted region of the genome.	base	int	none	none
ON_TARGET_FROM_PAIR_BASES	The number of bases from PF_SELECTED_UNIQUE_PAIRS that mapped to a targeted region of the genome.	base	int	none	none
PCT_AMPLIFIED_BASES	The fraction of PF_BASES_ALIGNED that mapped to or near an amplicon, (ON_AMPLICON_BASES + NEAR_AMPLICON_BASES)/PF_BASES_ALIGNED.	percent	float	none	none
PCT_CHIMERAS	The fraction of reads that map outside of a maximum insert size (usually 100kb) or that have the two ends mapping to different chromosomes.	percent	float	none	none
PCT_CODING_BASES	Fraction of PF_ALIGNED_BASES that mapped to protein coding regions of genes, CODING_BASES/PF_ALIGNED_BASES	percent	float	0.5	1
PCT_INTERGENIC_BASES	Fraction of PF_ALIGNED_BASES that mapped to intergenic regions of genomic DNA, INTERGENIC_BASES/PF_ALIGNED_BASES	percent	float	none	none
PCT_INTRONIC_BASES	Fraction of PF_ALIGNED_BASES that correspond to gene introns, INTRONIC_BASES/PF_ALIGNED_BASES	percent	float	none	none
PCT_MRNA_BASES	Sum of bases mapped to regions corresponding to UTRs and coding regions of mRNA transcripts, PCT_UTR_BASES + PCT_CODING_BASES	percent	float	none	none
PCT_OFF_AMPLICON	The fraction of PF_BASES_ALIGNED that mapped neither onto or near an amplicon, OFF_AMPLICON_BASES/PF_BASES_ALIGNED	percent	float	none	none
PCT_PF_READS_IMPROPER_PAIRS	The fraction of (primary) reads that are *not* "properly" aligned in pairs (as per SAM flag 0x2). PF_READS_IMPROPER_PAIRS / PF_READS_ALIGNED	percent	float	0	0.05
PCT_PF_UQ_READS	The fraction of TOTAL_READS that are unique, PF, and are not duplicates, PF_UNIQUE_READS/TOTAL_READS	percent	float	none	none
PCT_PF_UQ_READS_ALIGNED	Fraction of PF_READS that are unique and align to the reference genome, PF_UQ_READS_ALIGNED/PF_READS	percent	float	none	none
PCT_R1_TRANSCRIPT_STRAND_READS	The fraction of reads that support the model where R1 is on the strand of transcription and R2 is on the opposite strand. For unpaired reads, it is the fraction of reads that are on the transcription strand (out of all the reads).	percent	float	none	none
PCT_R2_TRANSCRIPT_STRAND_READS	The fraction of reads that support the model where R2 is on the strand of transcription and R1 is on the opposite strand. For unpaired reads, it is the fraction of reads that are on opposite strand than that of the the transcription strand (out of all the reads).	percent	float	none	none
PCT_READS_ALIGNED_IN_PAIRS	The fraction of reads whose mate pair was also aligned to the reference. READS_ALIGNED_IN_PAIRS / PF_READS_ALIGNED	percent	float	0.8	1
